,Date,Rate
0,31 Jan 1990,0.781105
1,28 Feb 1990,0.759321
2,31 Mar 1990,0.755618
3,30 Apr 1990,0.763662
4,31 May 1990,0.761055
5,30 Jun 1990,0.779029
6,31 Jul 1990,0.790762
7,31 Aug 1990,0.808713
8,30 Sep 1990,0.825116
9,31 Oct 1990,0.800595
10,30 Nov 1990,0.7729
11,31 Dec 1990,0.77019
12,31 Jan 1991,0.779295
13,28 Feb 1991,0.783505
14,31 Mar 1991,0.771067
15,30 Apr 1991,0.779468
16,31 May 1991,0.774268
17,30 Jun 1991,0.759815
18,31 Jul 1991,0.771559
19,31 Aug 1991,0.782345
20,30 Sep 1991,0.79369
21,31 Oct 1991,0.792505
22,30 Nov 1991,0.786595
23,31 Dec 1991,0.771224
24,31 Jan 1992,0.747557
25,29 Feb 1992,0.751784
26,31 Mar 1992,0.758645
27,30 Apr 1992,0.762405
28,31 May 1992,0.75587
29,30 Jun 1992,0.755605
30,31 Jul 1992,0.745065
31,31 Aug 1992,0.724786
32,30 Sep 1992,0.722548
33,31 Oct 1992,0.71481
34,30 Nov 1992,0.689837
35,31 Dec 1992,0.689736
36,31 Jan 1993,0.672974
37,28 Feb 1993,0.682937
38,31 Mar 1993,0.707752
39,30 Apr 1993,0.711545
40,31 May 1993,0.698585
41,30 Jun 1993,0.674918
42,31 Jul 1993,0.677876
43,31 Aug 1993,0.677364
44,30 Sep 1993,0.651667
45,31 Oct 1993,0.661
46,30 Nov 1993,0.66465
47,31 Dec 1993,0.673635
48,31 Jan 1994,0.696075
49,28 Feb 1994,0.716105
50,31 Mar 1994,0.71087
51,30 Apr 1994,0.715648
52,31 May 1994,0.724333
53,30 Jun 1994,0.732909
54,31 Jul 1994,0.734085
55,31 Aug 1994,0.7401
56,30 Sep 1994,0.742
57,31 Oct 1994,0.737875
58,30 Nov 1994,0.75492
59,31 Dec 1994,0.773886
60,31 Jan 1995,0.76469
61,28 Feb 1995,0.744726
62,31 Mar 1995,0.734517
63,30 Apr 1995,0.73564
64,31 May 1995,0.727164
65,30 Jun 1995,0.719591
66,31 Jul 1995,0.72792
67,31 Aug 1995,0.741365
68,30 Sep 1995,0.75371
69,31 Oct 1995,0.75699
70,30 Nov 1995,0.745343
71,31 Dec 1995,0.740525
72,31 Jan 1996,0.74171
73,29 Feb 1996,0.75557
74,31 Mar 1996,0.771362
75,30 Apr 1996,0.785664
76,31 May 1996,0.796995
77,30 Jun 1996,0.791215
78,31 Jul 1996,0.789741
79,31 Aug 1996,0.783045
80,30 Sep 1996,0.79279
81,31 Oct 1996,0.791791
82,30 Nov 1996,0.796837
83,31 Dec 1996,0.79661
84,31 Jan 1997,0.777557
85,28 Feb 1997,0.767679
86,31 Mar 1997,0.787471
87,30 Apr 1997,0.778682
88,31 May 1997,0.7751
89,30 Jun 1997,0.754224
